release_date,duration,meta,selic
03/08/2022,04/08/2022 - 21/09/2022,13.75,13.65
15/06/2022,17/06/2022 - 03/08/2022,13.25,13.15
04/05/2022,05/05/2022 - 16/06/2022,12.75,12.65
16/03/2022,17/03/2022 - 04/05/2022,11.75,11.65
02/02/2022,03/02/2022 - 16/03/2022,10.75,10.65
08/12/2021,09/12/2021 - 02/02/2022,9.25,9.15
27/10/2021,28/10/2021 - 08/12/2021,7.75,7.65
22/09/2021,23/09/2021 - 27/10/2021,6.25,6.15
04/08/2021,05/08/2021 - 22/09/2021,5.25,5.15
16/06/2021,17/06/2021 - 04/08/2021,4.25,4.15
05/05/2021,06/05/2021 - 16/06/2021,3.50,3.40
17/03/2021,18/03/2021 - 05/05/2021,2.75,2.65
20/01/2021,21/01/2021 - 17/03/2021,2.00,1.90
09/12/2020,10/12/2020 - 20/01/2021,2.00,1.90
28/10/2020,29/10/2020 - 09/12/2020,2.00,1.90
16/09/2020,17/09/2020 - 28/10/2020,2.00,1.90
05/08/2020,06/08/2020 - 16/09/2020,2.00,1.90
17/06/2020,18/06/2020 - 05/08/2020,2.25,2.15
06/05/2020,07/05/2020 - 17/06/2020,3.00,2.90
18/03/2020,19/03/2020 - 06/05/2020,3.75,3.65
05/02/2020,06/02/2020 - 18/03/2020,4.25,4.15
11/12/2019,12/12/2019 - 05/02/2020,4.50,4.40
30/10/2019,31/10/2019 - 11/12/2019,5.00,4.90
18/09/2019,19/09/2019 - 30/10/2019,5.50,5.40
31/07/2019,01/08/2019 - 18/09/2019,6.00,5.90
19/06/2019,21/06/2019 - 31/07/2019,6.50,6.40
08/05/2019,09/05/2019 - 20/06/2019,6.50,6.40
20/03/2019,21/03/2019 - 08/05/2019,6.50,6.40
06/02/2019,07/02/2019 - 20/03/2019,6.50,6.40
12/12/2018,13/12/2018 - 06/02/2019,6.50,6.40
31/10/2018,01/11/2018 - 12/12/2018,6.50,6.40
19/09/2018,20/09/2018 - 31/10/2018,6.50,6.40
01/08/2018,02/08/2018 - 19/09/2018,6.50,6.40
20/06/2018,21/06/2018 - 01/08/2018,6.50,6.40
16/05/2018,17/05/2018 - 20/06/2018,6.50,6.40
21/03/2018,22/03/2018 - 16/05/2018,6.50,6.40
07/02/2018,08/02/2018 - 21/03/2018,6.75,6.65
06/12/2017,07/12/2017 - 07/02/2018,7.00,6.90